"","k","distance","kernel","scale","classif.ce"
"112",2,2,"rectangular",TRUE,0.30017316017316
"113",4,2,"optimal",TRUE,0.30017316017316
"114",1,2,"gaussian",TRUE,0.30017316017316
"115",1,2,"inv",TRUE,0.30017316017316
"116",4,3,"gaussian",TRUE,0.301168831168831
"117",4,2,"rectangular",FALSE,0.301168831168831
"118",4,3,"inv",FALSE,0.301818181818182
"119",5,3,"optimal",TRUE,0.301991341991342
"120",15,1,"optimal",FALSE,0.302077922077922
"121",4,3,"rectangular",TRUE,0.302121212121212
"122",10,1,"inv",TRUE,0.302857142857143
"123",7,2,"triangular",FALSE,0.302900432900433
"124",9,2,"triangular",FALSE,0.302900432900433
"125",5,3,"gaussian",FALSE,0.302900432900433
"126",4,2,"triangular",FALSE,0.302943722943723
"127",12,2,"optimal",TRUE,0.303073593073593
"128",12,1,"gaussian",FALSE,0.303766233766234
"129",5,2,"gaussian",TRUE,0.303809523809524
"130",10,2,"triangular",FALSE,0.303896103896104
"131",9,1,"gaussian",FALSE,0.304025974025974
"132",4,2,"inv",FALSE,0.304025974025974
"133",5,3,"triangular",FALSE,0.304545454545455
"134",10,1,"gaussian",TRUE,0.304761904761905
"135",2,2,"optimal",FALSE,0.304891774891775
"136",2,2,"inv",FALSE,0.304891774891775
"137",1,2,"inv",FALSE,0.304891774891775
"138",1,2,"rectangular",FALSE,0.304891774891775
"139",1,2,"optimal",FALSE,0.304891774891775
"140",2,2,"triangular",FALSE,0.304891774891775
"141",1,2,"gaussian",FALSE,0.304891774891775
"142",1,2,"triangular",FALSE,0.304891774891775
"143",2,2,"gaussian",FALSE,0.304891774891775
"144",4,2,"optimal",FALSE,0.304891774891775
"145",2,2,"rectangular",FALSE,0.304891774891775
"146",4,3,"triangular",FALSE,0.305584415584416
"147",5,2,"triangular",FALSE,0.305627705627706
"148",14,1,"gaussian",FALSE,0.305627705627706
"149",10,1,"gaussian",FALSE,0.305670995670996
"150",9,2,"optimal",FALSE,0.305844155844156
"151",9,3,"optimal",TRUE,0.306709956709957
"152",10,2,"triangular",TRUE,0.306709956709957
"153",4,2,"gaussian",FALSE,0.306883116883117
"154",14,1,"gaussian",TRUE,0.307316017316017
"155",7,3,"triangular",FALSE,0.308311688311688
"156",15,1,"optimal",TRUE,0.308528138528139
"157",7,1,"rectangular",FALSE,0.308744588744589
"158",4,3,"rectangular",FALSE,0.309264069264069
"159",10,2,"inv",TRUE,0.309437229437229
"160",9,1,"gaussian",TRUE,0.30952380952381
"161",7,2,"inv",FALSE,0.3095670995671
"162",10,3,"optimal",TRUE,0.3095670995671
"163",12,2,"triangular",FALSE,0.30965367965368
"164",15,1,"gaussian",TRUE,0.31025974025974
"165",12,1,"gaussian",TRUE,0.31025974025974
"166",15,1,"gaussian",FALSE,0.31030303030303
"167",4,3,"gaussian",FALSE,0.311212121212121
"168",9,1,"inv",TRUE,0.311255411255411
"169",10,2,"optimal",FALSE,0.311341991341991
"170",12,2,"triangular",TRUE,0.311385281385281
"171",7,3,"optimal",FALSE,0.312077922077922
"172",9,3,"triangular",FALSE,0.312164502164502
"173",10,3,"optimal",FALSE,0.312943722943723
"174",12,2,"inv",TRUE,0.313290043290043
"175",7,3,"optimal",TRUE,0.313333333333333
"176",12,3,"optimal",FALSE,0.313939393939394
"177",10,3,"triangular",FALSE,0.314978354978355
"178",7,3,"inv",FALSE,0.315021645021645
"179",14,2,"triangular",TRUE,0.315064935064935
"180",5,3,"inv",TRUE,0.315108225108225
"181",5,2,"rectangular",FALSE,0.315194805194805
"182",7,2,"inv",TRUE,0.316103896103896
"183",15,2,"triangular",TRUE,0.316103896103896
"184",14,2,"triangular",FALSE,0.316190476190476
"185",9,3,"optimal",FALSE,0.316753246753247
"186",12,2,"optimal",FALSE,0.317099567099567
"187",4,3,"optimal",FALSE,0.317748917748918
"188",1,3,"triangular",FALSE,0.317748917748918
"189",1,3,"rectangular",FALSE,0.317748917748918
"190",1,3,"optimal",FALSE,0.317748917748918
"191",2,3,"optimal",FALSE,0.317748917748918
"192",1,3,"gaussian",FALSE,0.317748917748918
"193",2,3,"triangular",FALSE,0.317748917748918
"194",2,3,"gaussian",FALSE,0.317748917748918
"195",2,3,"inv",FALSE,0.317748917748918
"196",1,3,"inv",FALSE,0.317748917748918
"197",2,3,"rectangular",FALSE,0.317748917748918
"198",14,3,"optimal",FALSE,0.317835497835498
"199",7,3,"triangular",TRUE,0.317835497835498
"200",14,2,"optimal",TRUE,0.317922077922078
"201",9,2,"gaussian",TRUE,0.318095238095238
"202",10,2,"gaussian",TRUE,0.318658008658009
"203",12,3,"triangular",FALSE,0.31974025974026
"204",5,2,"optimal",FALSE,0.31982683982684
"205",7,1,"rectangular",TRUE,0.31987012987013
"206",15,2,"triangular",FALSE,0.31991341991342
"207",9,2,"inv",TRUE,0.31991341991342
"208",15,2,"optimal",TRUE,0.320735930735931
"209",5,3,"gaussian",TRUE,0.321601731601732
"210",5,3,"rectangular",FALSE,0.321601731601732
"211",12,3,"optimal",TRUE,0.321601731601732
"212",7,2,"gaussian",TRUE,0.321774891774892
"213",9,2,"inv",FALSE,0.322597402597403
"214",5,3,"optimal",FALSE,0.323290043290043
"215",12,2,"gaussian",TRUE,0.323549783549784
"216",7,3,"gaussian",FALSE,0.324242424242424
"217",14,1,"rectangular",FALSE,0.324329004329004
"218",14,2,"optimal",FALSE,0.324632034632035
