,Timestamp,Open,High,Low,Close,Volume
0,2020-01-01T00:00:00.000Z,7195.24,7255,7175.15,7200.85,16792.38817
1,2020-01-02T00:00:00.000Z,7200.77,7212.5,6924.74,6965.71,31951.48393
2,2020-01-03T00:00:00.000Z,6965.49,7405,6871.04,7344.96,68428.50045
3,2020-01-04T00:00:00.000Z,7345,7404,7272.21,7354.11,29987.97498
4,2020-01-05T00:00:00.000Z,7354.19,7495,7318,7358.75,38331.0856
5,2020-01-06T00:00:00.000Z,7357.64,7795.34,7346.76,7758,54635.69532
6,2020-01-07T00:00:00.000Z,7758.9,8207.68,7723.71,8145.28,91171.68466
7,2020-01-08T00:00:00.000Z,8145.92,8455,7870,8055.98,112622.6426
8,2020-01-09T00:00:00.000Z,8054.72,8055.96,7750,7817.76,64239.51983
9,2020-01-10T00:00:00.000Z,7817.74,8199,7672,8197.02,82406.77745
10,2020-01-11T00:00:00.000Z,8198.86,8286.34,8003.16,8020.01,54810.03267
11,2020-01-12T00:00:00.000Z,8020.01,8197,7960,8184.98,38131.49434
12,2020-01-13T00:00:00.000Z,8184.97,8196,8055.89,8110.34,31159.75568
13,2020-01-14T00:00:00.000Z,8110.34,8880,8105.54,8810.01,120399.1267
14,2020-01-15T00:00:00.000Z,8814.64,8916.48,8564,8821.41,84816.29761
15,2020-01-16T00:00:00.000Z,8820.01,8859.81,8586,8720.01,51991.07428
16,2020-01-17T00:00:00.000Z,8720.15,9041.65,8672.44,8913.28,70897.73738
17,2020-01-18T00:00:00.000Z,8913.27,8988.88,8806.38,8915.96,38294.74655
18,2020-01-19T00:00:00.000Z,8915.09,9198.98,8466,8701.7,70676.88926
19,2020-01-20T00:00:00.000Z,8701.72,8746.99,8521.28,8642.35,38896.63975
20,2020-01-21T00:00:00.000Z,8642.35,8789,8488,8736.03,36494.68766
21,2020-01-22T00:00:00.000Z,8736.04,8818,8590,8682.36,29080.55714
22,2020-01-23T00:00:00.000Z,8682.77,8691.81,8306.39,8404.52,48165.9446
23,2020-01-24T00:00:00.000Z,8404.52,8528.02,8238,8439,41687.52953
24,2020-01-25T00:00:00.000Z,8438.99,8451.26,8254.9,8340.58,25521.15793
25,2020-01-26T00:00:00.000Z,8340.01,8618.13,8293.66,8615,31130.48516
26,2020-01-27T00:00:00.000Z,8614.39,9000,8535,8907.57,53973.543
27,2020-01-28T00:00:00.000Z,8907.57,9400,8862.4,9374.21,74584.85377
28,2020-01-29T00:00:00.000Z,9375.34,9449.24,9216,9301.53,53864.06512
29,2020-01-30T00:00:00.000Z,9301.57,9578,9204.44,9513.21,60626.74426
30,2020-01-31T00:00:00.000Z,9511.52,9530.22,9210.01,9352.89,45552.02235
31,2020-02-01T00:00:00.000Z,9351.71,9464.53,9281,9384.61,28578.06735
32,2020-02-02T00:00:00.000Z,9384.41,9477.03,9120,9331.51,45690.91254
33,2020-02-03T00:00:00.000Z,9331.59,9618.79,9234,9292.24,50892.13345
34,2020-02-04T00:00:00.000Z,9291.35,9350,9093.01,9197.02,53308.17527
35,2020-02-05T00:00:00.000Z,9197.02,9744.45,9177.22,9612.04,64870.41562
36,2020-02-06T00:00:00.000Z,9612.03,9862.57,9526.35,9772,64949.70659
37,2020-02-07T00:00:00.000Z,9772,9885,9730,9813.73,43966.11463
38,2020-02-08T00:00:00.000Z,9813.87,9940,9667.11,9895.05,43600.84367
39,2020-02-09T00:00:00.000Z,9895.04,10166,9880.75,10151.75,43408.47562
40,2020-02-10T00:00:00.000Z,10151.72,10188,9756,9851.83,59573.08462
41,2020-02-11T00:00:00.000Z,9851.74,10323.59,9700,10223.08,62422.39522
42,2020-02-12T00:00:00.000Z,10223.08,10450,10223.08,10326.46,61008.06393
43,2020-02-13T00:00:00.000Z,10325.33,10500,10080,10229.63,79344.35876
44,2020-02-14T00:00:00.000Z,10227.78,10381.56,10111.37,10344.36,47038.48017
45,2020-02-15T00:00:00.000Z,10344.36,10375,9801,9904.72,57657.20295
46,2020-02-16T00:00:00.000Z,9904.46,10050,9638.12,9917.27,60023.99954
47,2020-02-17T00:00:00.000Z,9910.7,9964.16,9452.67,9706,70261.0119
48,2020-02-18T00:00:00.000Z,9706,10250,9576.01,10164.71,70604.12402
49,2020-02-19T00:00:00.000Z,10164.78,10250,9350,9593.79,55162.5869
50,2020-02-20T00:00:00.000Z,9594.65,9699,9400,9596.42,60152.34291
51,2020-02-21T00:00:00.000Z,9597.21,9755.51,9550.21,9677.05,42181.55452
52,2020-02-22T00:00:00.000Z,9677.05,9709.17,9560.02,9650.86,24636.75762
53,2020-02-23T00:00:00.000Z,9650.85,9990,9645,9936.4,37702.08984
54,2020-02-24T00:00:00.000Z,9936.4,9990,9473.56,9656.13,55796.59612
55,2020-02-25T00:00:00.000Z,9655.52,9675,9250,9315.84,54379.34455
56,2020-02-26T00:00:00.000Z,9316.48,9377.44,8633.63,8785.25,92130.34548
57,2020-02-27T00:00:00.000Z,8786,8971.77,8531,8823.21,72483.57876
58,2020-02-28T00:00:00.000Z,8823.25,8900,8445,8692.91,71155.20898
59,2020-02-29T00:00:00.000Z,8690.8,8790,8523.55,8523.61,36748.18304
60,2020-03-01T00:00:00.000Z,8523.61,8750,8411,8531.88,43892.20178
61,2020-03-02T00:00:00.000Z,8530.3,8965.75,8498,8915.24,60401.31773
62,2020-03-03T00:00:00.000Z,8911.18,8919.65,8651,8760.07,55154.99728
63,2020-03-04T00:00:00.000Z,8760.07,8848.29,8660,8750.87,38696.48258
64,2020-03-05T00:00:00.000Z,8750.99,9159.42,8746.54,9054.68,58201.86636
65,2020-03-06T00:00:00.000Z,9054.64,9170,8985.5,9131.88,43782.94804
66,2020-03-07T00:00:00.000Z,9130.89,9188,8835,8886.66,45422.20453
67,2020-03-08T00:00:00.000Z,8885.25,8886.76,8000,8033.31,77537.31517
68,2020-03-09T00:00:00.000Z,8034.76,8179.31,7632.01,7929.87,116968.8633
69,2020-03-10T00:00:00.000Z,7929.87,8149,7728.01,7894.56,86783.44388
70,2020-03-11T00:00:00.000Z,7894.57,7980,7590,7934.52,79942.41117
71,2020-03-12T00:00:00.000Z,7934.58,7966.17,4410,4800,261505.6087
72,2020-03-13T00:00:00.000Z,4800.01,5955,3782.13,5578.6,402201.6738
73,2020-03-14T00:00:00.000Z,5576.05,5640.52,5055.13,5172.06,136910.136
74,2020-03-15T00:00:00.000Z,5172.48,5940,5093.1,5361.3,139916.1465
75,2020-03-16T00:00:00.000Z,5360.33,5365.42,4442.12,5028.97,227276.9228
76,2020-03-17T00:00:00.000Z,5028.86,5525,4921.45,5312.64,150089.9263
77,2020-03-18T00:00:00.000Z,5312.64,5436.17,5009.37,5393.04,137127.6349
78,2020-03-19T00:00:00.000Z,5393.26,6400,5252.53,6162.37,199020.8734
79,2020-03-20T00:00:00.000Z,6162.05,6900,5670,6208.36,219298.3295
80,2020-03-21T00:00:00.000Z,6204.57,6456.98,5860.02,6186.98,128913.6684
81,2020-03-22T00:00:00.000Z,6187.04,6407.87,5734.01,5816.19,119115.9905
82,2020-03-23T00:00:00.000Z,5816.05,6600,5688,6467.31,164674.2158
83,2020-03-24T00:00:00.000Z,6465.25,6833,6371.33,6744.72,151138.0099
84,2020-03-25T00:00:00.000Z,6744.69,6957.96,6450,6677.43,132155.735
85,2020-03-26T00:00:00.000Z,6677.42,6780,6510,6737.36,83026.55521
86,2020-03-27T00:00:00.000Z,6737.27,6842.59,6261,6359.11,82914.96835
87,2020-03-28T00:00:00.000Z,6359.11,6360,6024,6236.65,93159.69343
88,2020-03-29T00:00:00.000Z,6236.65,6266,5866.56,5881.42,63311.62771
89,2020-03-30T00:00:00.000Z,5880.5,6599,5857.76,6394.38,118889.55
90,2020-03-31T00:00:00.000Z,6394.45,6523.23,6321.4,6410.44,72337.59526
91,2020-04-01T00:00:00.000Z,6412.14,6679.94,6150.11,6642.92,97500.7524
92,2020-04-02T00:00:00.000Z,6643.36,7198,6551,6794.09,149299.9069
93,2020-04-03T00:00:00.000Z,6793.86,7048,6602.1,6734.1,104080.2769
94,2020-04-04T00:00:00.000Z,6732.97,6990.41,6650.01,6856.99,72990.86114
95,2020-04-05T00:00:00.000Z,6857.41,6895.54,6677.52,6772.78,49685.35698
96,2020-04-06T00:00:00.000Z,6772.78,7355.14,6765,7329.9,118052.0008
97,2020-04-07T00:00:00.000Z,7329.9,7459.69,7077,7197.32,103585.1689
98,2020-04-08T00:00:00.000Z,7197.32,7420,7150,7361.28,76059.14584
99,2020-04-09T00:00:00.000Z,7360.26,7371.92,7108.08,7283.54,61094.87242
100,2020-04-10T00:00:00.000Z,7283.54,7295.75,6739.98,6858.92,104674.6234
101,2020-04-11T00:00:00.000Z,6858.92,6944.3,6760,6876.83,45470.29321
102,2020-04-12T00:00:00.000Z,6876.84,7177,6780,6903.79,73868.6665
103,2020-04-13T00:00:00.000Z,6903.79,6903.79,6575,6837.91,96415.47657
104,2020-04-14T00:00:00.000Z,6838.04,6978,6754.28,6868.7,69068.62329
105,2020-04-15T00:00:00.000Z,6868.57,6933,6605,6621.24,61571.38499
106,2020-04-16T00:00:00.000Z,6621.25,7190,6468.27,7101.94,125009.8575
107,2020-04-17T00:00:00.000Z,7101.99,7148.12,6972.98,7027.55,54126.50976
108,2020-04-18T00:00:00.000Z,7026.78,7293.08,7014.4,7248.6,49488.54282
109,2020-04-19T00:00:00.000Z,7248.6,7266.15,7055.6,7120.74,45664.86393
110,2020-04-20T00:00:00.000Z,7121.4,7220,6751,6826.83,90149.49137
111,2020-04-21T00:00:00.000Z,6828.98,6940,6762,6841.37,60109.71081
112,2020-04-22T00:00:00.000Z,6841.36,7156.38,6818,7125.14,61486.37733
113,2020-04-23T00:00:00.000Z,7125.12,7738,7020,7482.39,102773.5696
114,2020-04-24T00:00:00.000Z,7483.96,7615.96,7388,7505,60182.11994
115,2020-04-25T00:00:00.000Z,7505,7705,7431.07,7538.67,43874.42773
116,2020-04-26T00:00:00.000Z,7539.03,7700,7480,7693.1,50522.61621
117,2020-04-27T00:00:00.000Z,7693.1,7792.02,7606,7774.62,65441.33958
118,2020-04-28T00:00:00.000Z,7773.51,7780,7659.12,7738.98,46302.75264
119,2020-04-29T00:00:00.000Z,7738.58,8952.89,7710.05,8778.57,183546.8875
120,2020-04-30T00:00:00.000Z,8778.58,9460,8401,8620,206277.2141
