"","k","distance","kernel","scale","regr.mse"
"115",2,2,"optimal",FALSE,67.2979027765848
"116",9,5,"optimal",TRUE,67.4901879187425
"117",10,2,"optimal",TRUE,67.6598758769289
"118",4,1,"inv",FALSE,67.8548238332045
"119",2,2,"inv",TRUE,67.8621258755829
"120",14,4,"inv",FALSE,68.0183188915337
"121",15,3,"inv",FALSE,68.1553237213935
"122",10,4,"optimal",TRUE,68.3678173621141
"123",4,1,"inv",TRUE,68.4455735934358
"124",9,5,"optimal",FALSE,68.68539092969
"125",10,5,"optimal",TRUE,68.8278358656594
"126",9,4,"optimal",FALSE,68.8937964878239
"127",14,5,"inv",FALSE,68.9453761082762
"128",9,2,"optimal",FALSE,68.9548567254498
"129",2,2,"optimal",TRUE,68.9935931362438
"130",15,4,"inv",FALSE,69.0139090070864
"131",9,3,"optimal",FALSE,69.3690594805819
"132",1,5,"inv",FALSE,69.5050497281553
"133",1,5,"optimal",FALSE,69.5050497281553
"134",12,3,"optimal",TRUE,69.6621430322999
"135",15,5,"inv",FALSE,69.7478144883497
"136",12,2,"optimal",TRUE,69.931296682399
"137",10,2,"optimal",FALSE,70.196108035253
"138",10,5,"optimal",FALSE,70.3408392038924
"139",1,4,"inv",FALSE,70.4840586796116
"140",1,4,"optimal",FALSE,70.4840586796116
"141",10,4,"optimal",FALSE,70.6546648405119
"142",12,4,"optimal",TRUE,70.6887794408697
"143",10,3,"optimal",FALSE,70.8216962576781
"144",9,1,"optimal",TRUE,71.2584865753639
"145",12,5,"optimal",TRUE,71.3087455783281
"146",7,1,"optimal",TRUE,71.3625063817324
"147",10,1,"optimal",TRUE,71.6255268943538
"148",14,2,"optimal",TRUE,72.0560264852193
"149",14,3,"optimal",TRUE,72.0852796592326
"150",12,1,"optimal",TRUE,72.4500215190152
"151",5,1,"optimal",TRUE,72.8080654910982
"152",12,2,"optimal",FALSE,72.907582799329
"153",14,4,"optimal",TRUE,72.9498365141245
"154",15,2,"optimal",TRUE,73.051693014638
"155",9,1,"optimal",FALSE,73.1693102259764
"156",15,3,"optimal",TRUE,73.2224750239016
"157",10,1,"optimal",FALSE,73.2592007618314
"158",7,1,"optimal",FALSE,73.4053145445566
"159",14,5,"optimal",TRUE,73.593719380394
"160",12,5,"optimal",FALSE,73.5962613296188
"161",14,1,"optimal",TRUE,73.7047558533644
"162",12,3,"optimal",FALSE,73.7616275926817
"163",12,4,"optimal",FALSE,73.8511395583675
"164",4,1,"optimal",TRUE,73.8709603428027
"165",1,5,"optimal",TRUE,73.9512757475728
"166",1,5,"inv",TRUE,73.9512757475728
"167",15,4,"optimal",TRUE,74.0351764179488
"168",1,3,"inv",FALSE,74.0820928932039
"169",1,3,"optimal",FALSE,74.0820928932039
"170",12,1,"optimal",FALSE,74.1112356463499
"171",1,2,"optimal",FALSE,74.3840705825243
"172",1,2,"inv",FALSE,74.3840705825243
"173",1,4,"inv",TRUE,74.4132934174757
"174",1,4,"optimal",TRUE,74.4132934174757
"175",15,1,"optimal",TRUE,74.4847681742455
"176",15,5,"optimal",TRUE,74.6294624005794
"177",5,1,"optimal",FALSE,74.7701861007375
"178",1,3,"optimal",TRUE,75.1432338446602
"179",1,3,"inv",TRUE,75.1432338446602
"180",14,1,"optimal",FALSE,75.2470265988575
"181",14,2,"optimal",FALSE,75.4967613246812
"182",4,1,"optimal",FALSE,75.6313853861613
"183",1,2,"inv",TRUE,75.9947947378641
"184",1,2,"optimal",TRUE,75.9947947378641
"185",15,1,"optimal",FALSE,76.007976142486
"186",2,1,"inv",TRUE,76.1838346559039
"187",14,3,"optimal",FALSE,76.5427712786648
"188",14,5,"optimal",FALSE,76.6966524023043
"189",15,2,"optimal",FALSE,76.7240979470188
"190",14,4,"optimal",FALSE,76.8530896641775
"191",2,1,"optimal",TRUE,76.8941364332469
"192",2,1,"optimal",FALSE,77.2991352701418
"193",15,3,"optimal",FALSE,77.906343777217
"194",15,5,"optimal",FALSE,78.1963448586457
"195",15,4,"optimal",FALSE,78.2870908382977
"196",2,1,"inv",FALSE,79.1080951072568
"197",1,1,"optimal",FALSE,82.0113989320388
"198",1,1,"inv",FALSE,82.0113989320388
"199",1,1,"optimal",TRUE,84.2092786601942
"200",1,1,"inv",TRUE,84.2092786601942
